100	0.000131	0.000104
200	0.000452	0.000327
300	0.001012	0.000693
400	0.001801	0.001204
500	0.002839	0.001790
600	0.004169	0.002575
700	0.005558	0.003393
800	0.007228	0.004503
900	0.009210	0.005618
1000	0.011345	0.006799
1100	0.013684	0.008251
1200	0.016031	0.009796
1300	0.018784	0.011506
1400	0.021878	0.013368
1500	0.024874	0.015198
1600	0.028589	0.017396
1700	0.032488	0.019394
1800	0.035816	0.021973
1900	0.040075	0.024536
2000	0.044409	0.026903
2100	0.048803	0.029696
2200	0.053404	0.032590
2300	0.058306	0.035577
2400	0.063552	0.038923
2500	0.068806	0.042130
2600	0.074532	0.045580
2700	0.079942	0.048733
2800	0.086410	0.052816
2900	0.092346	0.056558
3000	0.098873	0.060540
3100	0.105459	0.064489
3200	0.112385	0.068608
3300	0.119570	0.073456
3400	0.126721	0.077358
3500	0.134238	0.081938
3600	0.141997	0.086519
3700	0.150287	0.091592
3800	0.158191	0.096622
3900	0.167140	0.101893
4000	0.175393	0.106581
4100	0.184534	0.112046
4200	0.193623	0.117608
4300	0.203008	0.122996
4400	0.212658	0.128900
4500	0.222300	0.135302
4600	0.232589	0.140898
4700	0.242788	0.146992
4800	0.253258	0.153767
4900	0.263604	0.159740
5000	0.274668	0.166176
5100	0.286114	0.172810
5200	0.297087	0.179687
5300	0.308930	0.186713
5400	0.320600	0.193618
5500	0.333168	0.200616
5600	0.344926	0.207787
5700	0.357425	0.215626
5800	0.369431	0.223053
5900	0.382947	0.230411
6000	0.396090	0.239261
6100	0.409084	0.246758
6200	0.422879	0.254741
6300	0.436294	0.262932
6400	0.450942	0.271014
6500	0.464858	0.279577
6600	0.479070	0.288554
6700	0.494032	0.296730
6800	0.508443	0.305898
6900	0.523326	0.314893
7000	0.539141	0.324124
7100	0.554236	0.333033
7200	0.570093	0.342875
7300	0.586460	0.352396
7400	0.602766	0.362281
7500	0.619070	0.371512
7600	0.635445	0.381660
7700	0.652833	0.391986
7800	0.668412	0.401872
7900	0.687828	0.412072
8000	0.703925	0.422959
8100	0.722233	0.433024
8200	0.739665	0.443814
8300	0.757571	0.454652
8400	0.776452	0.465563
8500	0.795179	0.477286
8600	0.813788	0.487904
8700	0.833102	0.499089
8800	0.851703	0.511170
8900	0.871706	0.522913
9000	0.891093	0.534286
9100	0.911986	0.545552
9200	0.931354	0.558145
9300	0.952229	0.570022
9400	0.972082	0.583635
9500	0.994040	0.596096
9600	1.015094	0.608962
9700	1.035838	0.620287
9800	1.058780	0.632661
9900	1.080187	0.646934
