1000	0.000028
2000	0.000063
3000	0.000094
4000	0.000117
5000	0.000154
6000	0.000221
7000	0.000217
8000	0.000280
9000	0.000351
10000	0.000356
11000	0.000443
12000	0.000485
13000	0.000513
14000	0.000528
15000	0.000547
16000	0.000542
17000	0.000691
18000	0.000671
19000	0.000758
20000	0.000839
21000	0.000854
22000	0.000801
23000	0.001096
24000	0.000949
25000	0.000962
26000	0.001158
27000	0.001004
28000	0.001300
29000	0.001195
30000	0.001293
31000	0.001394
32000	0.001519
33000	0.001638
34000	0.001785
35000	0.001516
36000	0.002302
37000	0.001763
38000	0.002110
39000	0.002255
40000	0.002503
41000	0.002171
42000	0.002593
43000	0.002911
44000	0.002283
45000	0.002164
46000	0.002224
47000	0.002994
48000	0.002146
49000	0.003178
50000	0.002835
