1000	0.004218
2000	0.016898
3000	0.037135
4000	0.066090
5000	0.103387
6000	0.149157
7000	0.202712
8000	0.266965
9000	0.334464
10000	0.413494
11000	0.499521
12000	0.596192
13000	0.698570
14000	0.808898
15000	0.933081
16000	1.056507
17000	1.193839
18000	1.341477
19000	1.493059
20000	1.653093
21000	1.824424
22000	1.994394
23000	2.182396
24000	2.380178
25000	2.586045
26000	2.784364
27000	3.016718
28000	3.231038
29000	3.465597
30000	3.719185
31000	3.966732
32000	4.187818
33000	4.510807
34000	4.781186
35000	5.058913
36000	5.369414
37000	5.648491
38000	5.959384
39000	6.297100
40000	6.605260
41000	6.937818
42000	7.289640
43000	7.638764
44000	7.998740
45000	8.375067
46000	8.756377
47000	9.149491
48000	9.539737
49000	9.909929
