100	0.000447	0.000344
200	0.000619	0.000437
300	0.001381	0.000899
400	0.002498	0.001598
500	0.003375	0.002059
600	0.004672	0.002799
700	0.005439	0.003296
800	0.006157	0.003825
900	0.008474	0.004954
1000	0.010005	0.005771
1100	0.011555	0.006885
1200	0.013392	0.008288
1300	0.015741	0.009757
1400	0.018180	0.011274
1500	0.020642	0.012931
1600	0.023704	0.014716
1700	0.027441	0.016502
1800	0.029787	0.018777
1900	0.033394	0.020934
2000	0.037150	0.023041
2100	0.040700	0.025218
2200	0.044513	0.027870
2300	0.048391	0.030563
2400	0.052686	0.033047
2500	0.057154	0.035939
2600	0.061830	0.038883
2700	0.065989	0.041610
2800	0.071162	0.044966
2900	0.076621	0.048220
3000	0.080649	0.051350
3100	0.085742	0.054762
3200	0.091579	0.058137
3300	0.098844	0.062806
3400	0.104282	0.065953
3500	0.111410	0.069659
3600	0.116930	0.073464
3700	0.123479	0.077976
3800	0.129549	0.081245
3900	0.136637	0.086160
4000	0.143580	0.090471
4100	0.157491	0.095987
4200	0.160686	0.100161
4300	0.168338	0.104354
4400	0.176091	0.109460
4500	0.183749	0.114999
4600	0.191252	0.119954
4700	0.201410	0.124970
4800	0.210455	0.131008
4900	0.218518	0.135113
